#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
95,25063421,EEEF PROF CARDOSO,Alagoa Nova,"AVENIDA SAO SEBASTIAO, 266 - CENTRO",58125000,200Mbits
96,25093754,CRIA CAPISTRANO DE ABREU,João Pessoa,"RUA AURILIA LINS RABELO, SN - COSTA E SILVA",58081060,200Mbits
97,25094084,CRIA CAPITULINA SATYRO,João Pessoa,"RUA VALDA CRUZ CORDEIRO, SN - JOAO AGRIPINO",58034050,200Mbits
98,25094734,EEEF PROF MARIA DE FATIMA SOUTO,João Pessoa,"RUA JOSE GOMES DE SOUZA, SN - MANGABEIRA I",58055420,200Mbits
99,25099124,EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO,Santa Rita,"LOTEAMENTO SAO JUDAS TADEU, 41 - VARZEA NOVA",58304500,200Mbits
100,25025627,EEEFM MARIA DIONISIA DE SOUSA,Nova Olinda,"RUA JOSE CIPRIANO DOS SANTOS, SEM - DISTRITO DE MANGUENZA",58798000,200Mbits
101,25027999,EEEF CALULA LEITE,Conceição,"RUA PREFEITO JOAO FAUSTO, SN - CENTRO",58970000,200Mbits
102,25038478,ECI EZEQUIEL FERNANDES,Junco do Seridó,"RUA ALCINDO LEITE, 490 - CENTRO",58640000,200Mbits
103,25041185,ECI PREFEITO AGUITONIO DANTAS,Frei Martinho,"RUA PROFESSOR LUIZ PINHEIRO, 271 - CENTRO",58195000,200Mbits
104,25093975,ECI NICODEMOS NEVES,João Pessoa,"PRACA DOUTOR LAURO WANDERLEY, 50 - CIDADE DOS FUNCIONARIOS",58087460,200Mbits
105,25117459,ECI PREFEITO WILLIAMS DE SOUSA ARRUDA,Campina Grande,"RUA BRUXELAS, SN - CUITES",58404864,200Mbits
106,25120778,EEIEFM PEDRO POTI,Baía da Traição,"ALDEIA SAO FRANCISCO, S N - ZONA RURAL",58295000,200Mbits
107,25123297,EEEFEM MARIA ELIDIA RANGEL,Tenório,"RUA ANATIVA MOTA DE AZEVEDO, SN - BELA VISTA",58665000,200Mbits
108,25126342,EEEF ANTONIA MARIA ANUNCIACAO DONA DONINHA,Vieirópolis,"DISTRITO DE CAMPO ALEGRE, SN - ",58822000,200Mbits
109,25014960,EEEF MANOEL MENDES,Nazarezinho,"RUA JOAO LUIZ, SN - CENTRO",58817000,200Mbits
110,25020960,EEEF CORIOLANO DE MEDEIROS,Patos,"PEREGRINO DE ARAUJO, SN - SANTO ANTONIO",58701010,200Mbits
111,25040600,EEEM PROF ODILON DE FIGUEIREDO,Várzea,"RUA ANIZIO MARINHO DA SILVA, 421 - CENTRO",58620000,200Mbits
112,25060058,ECI EEFM GOVERNADOR CLOVIS BEZERRA CAVALCANTI,Dona Inês,"RUA PROFESSOR ODILON MATIAS DE ARAUJO, 156 - CENTRO",58228000,200Mbits
113,25067737,EEEF PREF JOSE ANTONIO NEVES,Logradouro,"RUA FRANCICO XAVIER DE OLIVEIRA, 21 - CENTRO",58254000,200Mbits
114,25094408,EEEFM DES BOTO DE MENEZES,João Pessoa,"RUA PROFESSORA RITA MIRANDA, 318 - 13 DE MAIO",58025280,200Mbits
115,25115723,EEEFM FELIPE TIAGO GOMES,Picuí,"RUA ANIBAL DA CUNHA MACEDO, 30 - MONTE SANTO",58187000,200Mbits
116,25128809,EEIEF INDIO PEDRO MAXIMO DE LIMA,Marcação,"ALDEIA TRES RIOS, SN - CENTRO",58294000,200Mbits
117,25048350,EEEFM MALAQUIAS BATISTA FEITOSA,São Sebastião do Umbuzeiro,"RUA ANTONIO VENTURA CARACIOLO, 110 - CENTRO",58510000,200Mbits
118,25052497,EEEFM ALM ANTONIO HERACLITO DO REGO,Barra de Santana,"RUA ELVIRA AMORIM, SN - CENTRO",58458000,200Mbits
119,25082272,EEEFM DOM ADAUTO,Juarez Távora,"RUA ADALBERTO PEREIRA DE MELO, 18 - CENTRO",58387000,200Mbits
120,25099957,EEEFM DE FORTE VELHO,Santa Rita,"RUA PROFESSOR ANTONIO ELIAS, SN - POVOADO DE FORTE VELHO",58304300,200Mbits
121,25120751,ECI AURICELIA MARIA DA COSTA,Caaporã,"RUA PEQUENA-, SN - PRIMAVERA",58326000,200Mbits
122,25019597,EEEFM DORGIVAL SILVEIRA,São Francisco,"RUA FRANCISCO ANTONIO DA SILVEIRA, 110 - CENTRO",58818000,200Mbits
123,25029797,EEEF JOANA ABILIO PEGADO,Diamante,"RUA ANTONIO VICENTE, 57 - CENTRO",58994000,200Mbits
124,25033816,EEEF SILVEIRA DANTAS,Desterro,"PRACA NOSSA SENHORA DO DESTERRO, 25 - CENTRO",58695000,200Mbits
125,25061739,EEEFM IRINEU JOFFILY,Esperança,"JUVINIANO SOBREIRA, 125 - CENTRO",58135000,200Mbits
126,25072340,EEEF ALCEU DO AMOROSO LIMA,Campina Grande,"RUA CONCEICAO B SANTIAGO, SN - MALVINAS",58432685,200Mbits
127,25081349,EEEFM ADAUTO CABRAL DE VASCONCELOS,Riachão do Bacamarte,"RUA SENADOR CABRAL, 172 - CENTRO",58382000,200Mbits
128,25101099,ECIT DURVAL GUEDES,Pitimbu,"VILA CEHAP, SN - ACAU",58324000,200Mbits
129,25110780,EEEM PROFESSORA BEATRIZ MARIA DE ABREU,Casserengue,"RUA AYRTON SENNA, 515 - CENTRO",58238000,200Mbits
